Grupo;Grupo_Nome;EAP;Descricao;Pavimento;Mes_Inicio;Mes_Fim;Custo;Hh
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.1.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;1º;2;4;9819.53;261.7
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.1.6;Execução Escadas;1º;2;4;19513.29;179.6
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.2.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;2º;3;5;50103.2;784.2
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.2.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;2º;3;5;24681.27;65.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.2.3;Lançamento, adensamento e acabamento de concreto estrutural;2º;3;5;1334.27;299.5
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.2.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;2º;3;5;45765.64;1219.5
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.2.6;Execução Escadas;2º;3;5;28371.51;261.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.3.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;3º;5;7;24812.4;388.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.3.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;3º;5;7;12222.8;32.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.3.3;Lançamento, adensamento e acabamento de concreto estrutural;3º;5;7;660.76;148.3
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.3.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;3º;5;7;29618.17;789.2
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.3.6;Execução Escadas;3º;5;7;28371.51;261.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.4.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;4º;6;8;23230;363.6
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.4.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;4º;6;8;11443.3;30.3
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.4.3;Lançamento, adensamento e acabamento de concreto estrutural;4º;6;8;618.62;138.9
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.4.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;4º;6;8;28300.91;754.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.4.6;Execução Escadas;4º;6;8;28371.51;261.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.5.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;5º;8;10;24104;377.3
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.5.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;5º;8;10;11873.84;31.4
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.5.3;Lançamento, adensamento e acabamento de concreto estrutural;5º;8;10;641.9;144.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.5.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;5º;8;10;27607.66;735.6
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.5.6;Execução Escadas;5º;8;10;28371.51;261.1
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.6.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;6º/Plat;9;11;23552;368.6
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.6.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;6º/Plat;9;11;11601.92;30.7
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.6.3;Lançamento, adensamento e acabamento de concreto estrutural;6º/Plat;9;11;627.2;140.8
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.6.5;Forma de chapa compensada plastificada 18 mm, 4 utilizações;6º/Plat;9;11;27322.25;728
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.7.1;Armação aço CA-50 incl. corte, dobra, montagem e perdas;6º/Plat;9;11;21564.8;261.2
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.7.2;Concreto usinado fck 25 MPa estrutural, bombeado, slump 100±20;6º/Plat;9;11;10623.01;0
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.7.3;Lançamento, adensamento e acabamento de concreto estrutural;6º/Plat;9;11;574.28;16
3;ESTRUTURA (CONCRETO, FORMAS, ARMAÇÃO);3.7.4;Forma de chapa compensada plastificada 18 mm, 4 utilizações;6º/Plat;9;11;21604.82;456.2
4;ALVENARIA E FECHAMENTOS;4.1.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;1º;7;9;21968.5;371
4;ALVENARIA E FECHAMENTOS;4.1.2;Execução de Verga e Contra-Verga;1º;7;9;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.2.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;2º;8;10;32886.88;555.4
4;ALVENARIA E FECHAMENTOS;4.2.2;Execução de Verga e Contra-Verga;2º;8;10;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.3.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;3º;9;11;30830.98;520.7
4;ALVENARIA E FECHAMENTOS;4.3.2;Execução de Verga e Contra-Verga;3º;9;11;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.4.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;4º;11;13;30830.98;520.7
4;ALVENARIA E FECHAMENTOS;4.4.2;Execução de Verga e Contra-Verga;4º;11;13;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.5.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;5º;12;14;30587.67;516.6
4;ALVENARIA E FECHAMENTOS;4.5.2;Execução de Verga e Contra-Verga;5º;12;14;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.6.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;6º/Plat;13;15;25284.44;427
4;ALVENARIA E FECHAMENTOS;4.6.2;Execução de Verga e Contra-Verga;6º/Plat;13;15;965.7;2.5
4;ALVENARIA E FECHAMENTOS;4.7.1;Alvenaria de vedação bloco cerâmico 14×19×29 cm, e=14 cm — externa/divisórias entre flats;6º/Plat;13;15;9116.71;105.5
4;ALVENARIA E FECHAMENTOS;4.7.2;Execução de Verga e Contra-Verga;6º/Plat;13;15;965.7;2.5
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;1º;11;12;361.81;97
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;2º;12;13;1499.46;402
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;3º;13;14;1339.07;359
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;4º;14;15;1339.07;359
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;5º;15;16;1178.68;316
5;REBOCO / EMBOÇO;5.1.1;Chapisco para alvenaria (cimento+areia 1:3) — todas as faces;6º/Plat;16;17;1857.54;498
5;REBOCO / EMBOÇO;5.1.2;Emboço;1º;11;12;3889.2;40.6
5;REBOCO / EMBOÇO;5.1.2;Emboço;2º;12;13;9445.2;98.6
5;REBOCO / EMBOÇO;5.1.2;Emboço;3º;13;14;9723;101.5
5;REBOCO / EMBOÇO;5.1.2;Emboço;4º;14;15;9723;101.5
5;REBOCO / EMBOÇO;5.1.2;Emboço;5º;15;16;8889.6;92.8
5;REBOCO / EMBOÇO;5.1.2;Emboço;6º/Plat;16;17;8722.92;91.1
5;REBOCO / EMBOÇO;5.1.3;Reboco externo ) e=2,0 cm — áreas externas e ÁM;Edifício;15;19;74235.66;736.7
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.1;Cisterna de concreto armado 10.000 L (inferior);Edifício;10;17;21000;80
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.2;Caixa de gordura coletiva alvenaria 60×60 cm + tampa;Edifício;10;17;2420;32
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.3;Caixa de inspeção alvenaria 60×60 cm + tampa concreto;Edifício;10;17;3630;48
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.4;Ramal de ligação à rede pública (água + esgoto);Edifício;10;17;7000;60
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;1º;10;11;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;2º;11;12;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;3º;12;13;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;4º;13;14;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;5º;14;15;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.5;Ponto de água quente — PPR DN20/25;6º/Plat;15;16;1722;16.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;1º;10;11;0;40
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;2º;11;12;0;40
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;3º;12;13;0;80
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;4º;13;14;0;40
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;5º;14;15;0;40
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.6;Infra para Hidraulica;6º/Plat;15;16;0;80
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;1º;10;11;3969.5;42.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;2º;11;12;3969.5;42.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;3º;12;13;3969.5;42.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;4º;13;14;3969.5;42.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;5º;14;15;3969.5;42.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.7;Ponto de água fria — tubulação PVC soldável DN20/25/32 + conexões;6º/Plat;15;16;4203;45
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;1º;10;11;4420;44.2
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;2º;11;12;4420;44.2
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;3º;12;13;4420;44.2
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;4º;13;14;4420;44.2
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;5º;14;15;4420;44.2
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.8;Ponto de esgoto primário — PVC série normal DN40/50/75/100 + caixas;6º/Plat;15;16;4680;46.8
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.9;Ponto de águas pluviais — PVC série reforçada DN75/100/150;Edifício;10;17;3704;36
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.10;Coluna de prumada (esgoto) PVC DN100 — incluindo conexões;Edifício;10;17;4514;37
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.11;Coluna de prumada (água fria) PVC DN32 — incluindo conexões;Edifício;10;17;4037;49.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.12;Conjunto moto-bomba de recalque 5 CV, Q=20 m³/h;Edifício;10;17;14660;24
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;1º;10;11;1140;7.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;2º;11;12;1140;7.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;3º;12;13;1140;7.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;4º;13;14;1140;7.5
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;5º;14;15;1520;10
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.13;Hidrômetro individual + caixa de proteção;6º/Plat;15;16;1520;10
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.14;Reservatório superior em fibra de vidro 20.000 L com acessórios;6º/Plat;10;17;16650;24
6;INSTALAÇÕES HIDROSSANITÁRIAS;6.1.15;Reservatório de combate a incêndio 2.000 L em fibra de vidro;2º;10;17;3330;10
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;1º;10;11;0;40
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;2º;11;12;0;40
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;3º;12;13;0;40
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;4º;13;14;0;40
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;5º;14;15;0;80
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.1;Infra para Eletrica;6º/Plat;15;16;0;80
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);1º;10;11;1540;15.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);2º;11;12;1540;15.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);3º;12;13;1540;15.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);4º;13;14;1540;15.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);5º;14;15;1540;15.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.2;Ponto de iluminação (eletroduto+caixa+condutor+luminária simples);6º/Plat;15;16;420;4.2
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);1º;10;11;1600;15
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);2º;11;12;1600;15
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);3º;12;13;1600;15
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);4º;13;14;1600;15
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);5º;14;15;960;9
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.3;Ponto de tomada 2P+T 10A (eletroduto+caixa+condutor+tomada);6º/Plat;15;16;960;9
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);1º;10;11;440;4.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);2º;11;12;440;4.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);3º;12;13;330;3.3
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);4º;13;14;330;3.3
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);5º;14;15;330;3.3
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.4;Ponto de interruptor simples/paralelo (eletroduto+caixa+condutor+interruptor);6º/Plat;15;16;220;2.2
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;1º;10;11;1720;18
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;2º;11;12;1720;18
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;3º;12;13;1720;18
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;4º;13;14;1720;18
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;5º;14;15;860;9
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.5;Quadro de distribuição (QDL) embutido, 12 a 24 disjuntores;6º/Plat;15;16;860;9
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;1º;10;11;945;10.5
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;2º;11;12;945;10.5
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;3º;12;13;945;10.5
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;4º;13;14;945;10.5
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;5º;14;15;945;10.5
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.6;Disjuntor termomagnético DIN unipolar 10 a 32A;6º/Plat;15;16;459;5.1
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);1º;10;11;8200;123
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);2º;11;12;8200;123
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);3º;12;13;8200;123
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);4º;13;14;8200;123
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);5º;14;15;8200;123
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.7;Eletroduto PVC rígido Ø 3/4" (incluindo conexões);6º/Plat;15;16;8000;120
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;1º;10;11;8160;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;2º;11;12;8160;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;3º;12;13;8160;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;4º;13;14;8160;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;5º;14;15;8160;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.8;Cabeamento de cobre flexível #2,5 mm² 750V;6º/Plat;15;16;6240;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;1º;10;11;3520;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;2º;11;12;3520;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;3º;12;13;3520;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;4º;13;14;3520;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;5º;14;15;3520;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.9;Cabeamento de cobre flexível #1,5 mm² 750V;6º/Plat;15;16;1920;0
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.10;Padrão de entrada CEMIG trifásico (caixa + medidor + ramal);Edifício;10;17;11700;80
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);1º;10;11;120;1.2
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);2º;11;12;480;4.8
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);3º;12;13;480;4.8
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);4º;13;14;480;4.8
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);5º;14;15;480;4.8
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.11;Ponto de telefone/dados (cabeamento estruturado Cat6);6º/Plat;15;16;240;2.4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.12;Ponto de TV/antena coletiva;1º;10;11;103;1
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.12;Ponto de TV/antena coletiva;2º;11;12;412;4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.12;Ponto de TV/antena coletiva;3º;12;13;412;4
7;INSTALAÇÕES ELÉTRICAS E TELECOMUNICAÇÕES;7.1.12;Ponto de TV/antena coletiva;4º;13;14;412;4
